Columnas 2016;Renombre_2016;Columnas 2017;Renombre_2017;Columnas 2019;Renombre_2019;Columnas_2022;Renombre_2022
Ap8_4_Terminó_la_escuela_secundaria;Nivel_Ed_Padre_Secundaria_completo;ap12_No;ap06_No;ap02_No_disponible;ap03_No_disponible;ap16b_Terciario_universitario_o_posgrado;Nivel_Ed_Padre_Terciario_universitario_posgrado_completo
Ap8_5_Tiene_estudios_terciarios;Nivel_Ed_Padre_Terciario_universitario_posgrado_completo;ap12_Sí;ap06_Sí;ap02_Varón;ap03_Masculino;ap16c_Blanco;Nivel_Ed_Persona_Resp_Blanco
Ap19_1_Menos_de_8_veces;ap27_Menos_de_5_faltas;ap13_Blanco;ap14_Blanco;ap03_Argentina;ap04_Argentina;ap16c_Multimarca;Nivel_Ed_Persona_Resp_Multimarca
Ap19_2_De_8_a_17_veces;ap27_De_5_a_14_faltas;ap13_Dato_faltante;ap14_No_disponible;ap03_Blanco;ap04_Blanco;ap16c_No_disponible;Nivel_Ed_Persona_Resp_No_disponible
Ap19_3_18_a_24_veces;ap27_De_20_a_29_faltas;ap13_Multimarca;ap14_Multimarca;ap03_Bolivia;ap04_Bolivia;ap16c_No_fue_a_la_escuela;Nivel_Ed_Persona_Resp_No_fue_a_la_escuela
Ap19_4_Más_de_24_faltas;ap27_30_o_más_faltas;ap13_No;ap14_No;ap03_Brasil;ap04_Brasil;ap16c_Primario;Nivel_Ed_Persona_Resp_Primaria_completo
Ap5_1_Una;ap11_1;ap13_Sí;ap14_Sí;ap03_Chile;ap04_Chile;ap16c_Secundario;Nivel_Ed_Persona_Resp_Secundaria_completo
Ap5_2_Dos;ap11_2;ap18_Blanco;ap23_Blanco;ap03_Colombia;ap04_Colombia;ap16c_Terciario_universitario_o_posgrado;Nivel_Ed_Persona_Resp_Terciario_universitario_posgrado_completo
Ap5_3_Tres;ap11_3;ap18_Sí;ap23_Sí_recibí_dinero_por_todas_ellas;ap03_Multimarca;ap04_Multimarca;ap22_Blanco;ap31_Blanco
Ap5_4_Cuatro;ap11_4;ap2_Mujer;ap03_Femenino;ap03_México;ap04_México;ap22_Entre_2_y_4_horas;ap31_Entre_2_y_4_horas
Ap5_5_Cinco;ap11_5;ap2_Varón;ap03_Masculino;ap03_No_disponible;ap04_No_disponible;ap22_Entre_5_y_7_horas;ap31_Entre_5_y_7_horas
Ap5_6_Seis_o_más;ap11_6;ap23_Entre_15_y_24_veces;ap27_De_5_a_14_faltas;ap03_Otro_país_de_América;ap04_Otro_país_de_América;ap22_Entre_8_y_10_horas;ap31_Entre_8_y_10_horas
Ap4_1_Una_si_vivís_solo;ap12_Vivo_solo;ap23_Más_de_24_veces;ap27_30_o_más_faltas;ap03_Paraguay;ap04_Paraguay;ap22_Hasta_2_horas;ap31_Hasta_2_horas
Ap4_2_Dos;ap12_2;ap23_Menos_de_15_veces;ap27_Menos_de_5_faltas;ap03_País_de_Asia;ap04_En_un_país_de_Asia;ap22_Más_de_10_horas;ap31_Más_de_10_horas
Ap4_3_Tres;ap12_3;ap23_Nunca;ap27_Ninguna_falta;ap03_País_de_Europa;ap04_En_un_país_de_Europa;ap22_Multimarca;ap31_Multimarca
Ap4_4_Cuatro;ap12_4;ap20_Blanco;ap25a_Blanco;ap03_País_de_Oceanía;ap04_En_un_país_de_Oceanía;ap22_No_disponible;ap31_No_disponible
Ap4_5_Cinco;ap12_5;ap20_Multimarca;ap25a_Multimarca;ap03_País_de_África;ap04_En_un_país_de_África;ap22_No_estudié_ni_realicé_las_tareas_fuera_del_horario_esc;ap31_No_estudié_ni_hice_tarea_fuera_del_horario_escolar
Ap4_6_Seis;ap12_6;ap20_No;ap25a_No;ap03_Perú;ap04_Perú;ap23_Blanco;ap44_Blanco
Ap4_7_Siete;ap12_7;ap20_Sí_dos_veces;ap25a_Sí_dos_o_más_veces;ap03_Uruguay;ap04_Uruguay;ap23_Multimarca;ap44_Multimarca
Ap4_8_Ocho_o_más;ap12_8;ap20_Sí_una_vez;ap25a_Sí_una_vez;ap03_Venezuela;ap04_Venezuela;ap23_No_disponible;ap44_No_disponible
Ap9_1_Sí;ap06_Sí;ap21_Blanco;ap25b_Blanco;ap04_Argentina;ap05a_En_Argentina;ap23_No_me_apoya_ni_me_ayuda_a_tomar_decisiones;ap44_No_me_apoya_ni_me_ayuda_a_tomar_decisiones
Ap9_2_No;ap06_No;ap21_Multimarca;ap25b_Multimarca;ap04_Blanco;ap05a_Blanco;ap23_No_me_apoya_pero_me_ayuda_a_tomar_decisiones;ap44_No_me_apoya_pero_me_ayuda_a_tomar_decisiones
