ap11_6,ap02_2004,ap24_No_no_fui_al_jardín,ldesemp_Satisfactorio,lat,ap11_2,lon,ldesemp_Básico,Nro_Encuestados,ap23_Blanco,Nivel_Ed_Madre_Terciario_universitario_posgrado_completo,ap24_Sí_desde_sala_de_3_o_antes,ap02_2006,ap12_5,mdesemp_Básico,ap03_Femenino,ldesemp_Por_debajo_del_nivel_básico,ap03_Masculino,Nivel_Ed_Madre_Secundaria_completo,mdesemp_Satisfactorio,ap23_Sí_recibí_dinero_por_todas_ellas,ap24_Sí_desde_sala_de_5,ap11_3,ap12_Vivo_solo,ap25a_Sí_dos_o_más_veces,ambito_binario,Nivel_Ed_Padre_Primaria_completo,ap27_De_5_a_14_faltas,Nivel_Ed_Padre_Terciario_universitario_posgrado_completo,ap14_No,Nivel_Ed_Padre_Secundaria_completo,ap12_4,ap25a_No,sector_binario,ap11_4,ap12_6,ap24_Sí_desde_sala_de_4,ap11_5,ap12_2,ap12_3,ap12_7,ap14_Sí,ldesemp_Avanzado,ap27_Menos_de_5_faltas,ap25a_Sí_una_vez,mdesemp_Avanzado,Nivel_Ed_Madre_Primaria_completo,mdesemp_Por_debajo_del_nivel_básico,ap02_2005,ap11_1
126.95663445,361.1863692,28.2445401,701.5369699021257,-34.6095579,330.35531395,-58.3887904,277.1948446602325,1183.021082,960.8048688,150.2453778,880.828667,11.7455683,270.4835976,404.0435196106571,546.8679416,304.91205713498005,578.8761051,333.8366331,351.8019741302234,326.53367435,124.86827855,372.4274318,20.75110875,25.56359355,1.0,97.57277525,552.33760475,95.06667495,1158.3374725,311.50930465,360.41728955,1230.3265925,1.0,228.99945855,103.0196262,277.2510138,100.88207695,141.69320605,301.8333534,60.70663085,90.67864935,220.6758090083516,314.22405095,94.9458417,306.41255364667245,83.6722788,429.2572524120984,510.39091655,144.19154685
117.94301765,272.00871855,16.54780095,554.9157550991727,-34.6095579,224.85941655,-58.3887904,164.4512387139084,730.2980910999999,838.6565175,154.1616182,868.93187465,0.61870585,193.14273365,232.87575862543164,385.20676135,177.05108204446717,315.6282292,267.1114529,424.43734505950914,160.9270702,35.573935899999995,343.5913687,2.5352588,1.72172855,1.0,55.9489666,559.53858555,110.2053496,1017.744617,229.9224001,404.1720485,1078.5948425,0.0,239.13028065,75.3169247,180.9013002,123.4107912,111.9108234,263.11930805,27.33293065,7.03770475,236.4317310448427,147.3581377,23.06922525,307.78783196908984,41.56463515,172.92707948747895,415.0866627,38.733952900000006
71.00523325,282.8548307,42.45593495,430.738450790144,-34.6274584,206.53768975,-58.5030982,234.1086473957289,661.7551507999999,549.40912925,94.0316083,477.1959506,9.673872,180.83236975,234.12004675718973,234.6652871,221.65580731340293,436.19203795,321.4394605,451.6380800585743,244.2791089,60.4230679,223.4643217,1.2215227,6.2953931,1.0,58.64305565,315.61173025,54.4471937,727.7079482,241.65727365,263.2520649,780.07844135,1.0,189.47202525,70.41023075000001,218.0515382,69.25821235000001,56.30704485,147.94117045000002,49.878194050000005,13.4557987,80.16458635706981,237.47656765,40.315117400000005,111.41911021655444,37.7809861,190.7405875092541,212.2312815,53.59841635
116.1727518,204.8314679,2.2956875,454.1648174020695,-34.6274584,156.6392779,-58.5030982,160.78272746232264,593.30519035,740.03231555,231.88334275,767.2698477,2.0646411,186.2827707,280.08609067757146,343.18396005,248.9018302299924,228.5463933,306.78866245,450.42575529607774,129.47266804999998,36.1698472,300.0946193,4.115301,3.56280485,1.0,25.97556435,411.46369495,86.82893394999999,898.6478462,277.49635165,415.6051108,975.6915711,0.0,224.8494854,53.40318575,175.52410935,127.79820785,71.88016925,209.1431836,14.68111035,9.47772275,182.96217472585283,127.30730895,12.81571315,129.531866406065,15.3902267,173.492903292055,359.31769745,11.9123513
37.730940450000006,191.48935715,13.5933439,315.3817289767142,-34.6030061,153.67231765,-58.5007165,147.8530908617425,477.67053635,368.94451675,53.835249950000005,314.44299375,2.18163255,129.07827655,230.9509806125904,249.87725115,167.40564226526882,212.0297488,163.5262752,230.51067873570148,173.14531484999998,43.7975147,177.4865312,7.70507745,0.0,1.0,36.95683265,171.8621966,35.004864,510.9053658,161.6030805,161.2567519,528.4605856000001,1.0,77.6262343,49.8593873,181.70256065,53.9042737,62.043141,127.4102285,21.8173585,12.79245395,56.8696950847205,123.7393547,39.5525293,40.66848855572336,37.80357205,198.51032474202577,154.79679249999998,44.26158285
175.59278089999998,206.2139234,1.58935645,525.7408244474575,-34.6030061,131.00748175,-58.5007165,166.13104642289153,646.7228102500001,802.7300318,247.5027766,876.14993115,1.0,203.7091715,245.3756508938307,361.41952515,173.77835111571596,268.512983,264.50169935,520.5672392898749,153.87950560000002,21.1435485,310.89162455,1.08935645,2.2376977,1.0,21.37083195,522.8008465,133.9985805,978.46304355,261.22452005,438.2331171,1051.4516964999998,0.0,249.64180505,51.8496071,154.0933212,158.26229295,71.94229375,269.74947505,13.72225465,7.0201178,231.95411799676387,107.33396065,16.431987200000002,180.552061094355,9.4374129,151.5711313905063,403.313127,17.635586
43.0082158,103.62066525,9.31101685,205.98969015335587,-34.5661691,147.90356135000002,-58.4904161,133.53748699060253,454.61752255,312.8485109,98.89030565,351.65808475,3.78311705,94.60043225,188.07162566362163,169.21888715,186.1537203361194,246.8968272,152.8469667,170.4521350461024,177.2394368,12.76271135,164.65865305,23.5419944,2.6626303,1.0,31.2949675,149.1561265,57.4994465,434.24523725,130.47020425,145.75260830000002,473.4698462,1.0,73.60711415,47.2887457,134.75061365,46.1825706,57.19461115,109.51515215,20.6034859,32.88262665,43.29703202067089,86.92660315,40.9149745,31.52810483856038,43.37461775,205.884087713594,169.67225185,27.8713487
119.7139448,253.0005684,3.19104935,535.4353357388774,-34.5661691,168.20106755,-58.4904161,167.53935120659293,689.12591695,834.1056579,233.7459036,950.01914205,1.4159569,210.77436375,296.9794317479645,390.41658385000005,212.18002496539768,274.2352167,260.40887345,513.1140867475352,172.32122575,22.5888743,358.8823957,2.4320512,0.63011365,1.0,28.0511591,522.6538783999999,155.1431053,1041.6501205,283.93187315,481.055283,1102.1835190000002,0.0,289.00947384999995,53.3198754,141.90575415,144.05236055,80.84600945,277.13977415,12.42150605,8.395666049999999,258.20119105689787,112.77816655,21.9615586,175.6236510264733,19.5379343,175.55439014293395,395.65066615,27.8585331
68.29746065,285.4715317,8.70246335,349.4553448369545,-34.5548845,192.8614957,-58.4542534,208.93589575309448,714.60002285,553.6980784,124.8799566,541.3970721000001,0.0,143.5959479,214.4799364046853,293.09325865,204.78448441339108,402.2580953,212.94693875,308.44672750094145,207.2627099,41.2564051,237.79288855,2.7699413,8.5291097,1.0,60.1828949,296.4312904,93.1365643,700.3796918,220.660518,240.30826355,732.27266325,1.0,134.64379185,69.63200025,183.6576059,43.9456801,72.9927774,192.83188495,26.4381589,6.6758259,114.706172080933,167.0366755,42.163176750000005,74.17492235900603,45.61845515,257.8118920868589,253.76346875,66.09249085
374.2780954,428.08343405,12.5507764,1051.7051061197128,-34.5548845,239.65874385,-58.4542534,312.0621702708699,1254.95757825,1651.524012,331.25078015,1863.702831,1.06224905,459.18450815,398.5119873703187,643.94764385,373.7170870845603,534.7739371499999,354.91151315,985.8905926742352,215.5333332,42.10511625,566.204202,11.3289858,0.0,1.0,19.04999915,981.11237975,174.9555636,2002.211284,384.8757975,844.90775065,2123.974536,0.0,552.7617103499999,123.948469,233.49144575,370.92906055,185.2723833,500.37588695,17.513493599999997,29.97110485,490.01535347097416,365.96302295,38.6307535,561.832174170556,26.9721189,272.11287285552504,785.17002525,36.47669145
